bucket_id,name,owner,metadata,created_at,updated_at
catalog,products/WZlxEDKRDnDChgXRuiG239.Image.112902.jpg,null,"{""eTag"":""\""4e6bb3cb9aec305c04a73cdbe8c4ba81-1\"""",""size"":99338,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":99338,""httpStatusCode"":200}",2026-03-08 23:19:13.51196+00,2026-03-08 23:19:13.51196+00
catalog,products/wnuzA8f6RM42RpnnQG8Xy4.Image.014440.jpg,null,"{""eTag"":""\""3ba4d13347256ae5339710c3465d4b44-1\"""",""size"":79558,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":79558,""httpStatusCode"":200}",2026-03-08 23:19:13.509473+00,2026-03-08 23:19:13.509473+00
catalog,products/x3WxIreSByjyglQ7GQZWxA.Image.134601.jpg,null,"{""eTag"":""\""3b34ee3b11174ec3ef83b8c6793ea0d7-1\"""",""size"":91200,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":91200,""httpStatusCode"":200}",2026-03-08 23:19:13.504088+00,2026-03-08 23:19:13.504088+00
catalog,products/-X3fRAohYF4aIhgXramzz5.Image.014717.jpg,null,"{""eTag"":""\""1ad28603e3eb76a796311520d8a14ab5-1\"""",""size"":75214,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":75214,""httpStatusCode"":200}",2026-03-08 23:19:13.488693+00,2026-03-08 23:19:13.488693+00
catalog,products/x0XkFDpNIPPNXypTJJGzvM.Image.170915.jpg,null,"{""eTag"":""\""47a8cf2b0d0dbc878b8553c30c69de82-1\"""",""size"":39235,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":39235,""httpStatusCode"":200}",2026-03-08 23:19:13.448649+00,2026-03-08 23:19:13.448649+00
catalog,products/VnSLdhXlUXZMq6idUvh2Lu.Image.140639.jpg,null,"{""eTag"":""\""ee52e1d4160fea5c8e838dfe23819a1b-1\"""",""size"":129610,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:13.000Z"",""contentLength"":129610,""httpStatusCode"":200}",2026-03-08 23:19:12.743163+00,2026-03-08 23:19:12.743163+00
catalog,products/UN07dklpAHSe5E4Oh3bhAW.Image.203514.jpg,null,"{""eTag"":""\""4d55550ddfe988ada93be191419f717b-1\"""",""size"":92135,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:13.000Z"",""contentLength"":92135,""httpStatusCode"":200}",2026-03-08 23:19:12.702123+00,2026-03-08 23:19:12.702123+00
catalog,products/Udtz0mGKkJ4H2m2VcJj_I2.Image.133532.jpg,null,"{""eTag"":""\""ea145fa33bd8f8c080bf638f00ba6e68-1\"""",""size"":90805,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:13.000Z"",""contentLength"":90805,""httpStatusCode"":200}",2026-03-08 23:19:12.69481+00,2026-03-08 23:19:12.69481+00
catalog,products/vQ5pTKAKHhHMZzzaERLRwa.Image.124917.jpg,null,"{""eTag"":""\""71489f6dc761e94fd1c46c94f90aa396-1\"""",""size"":101801,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:13.000Z"",""contentLength"":101801,""httpStatusCode"":200}",2026-03-08 23:19:12.690294+00,2026-03-08 23:19:12.690294+00
catalog,products/vIAhZmvPdnuon1OGqf7m0v.Image.014951.jpg,null,"{""eTag"":""\""64e114ace884bbeec1c8a7d9ff999a20-1\"""",""size"":77780,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:13.000Z"",""contentLength"":77780,""httpStatusCode"":200}",2026-03-08 23:19:12.682824+00,2026-03-08 23:19:12.682824+00
catalog,products/Vx4UChJiKJ4hezAC6b84Wa.Image.014122.jpg,null,"{""eTag"":""\""40d4a7339355d5c65dff5308043f5d1c-1\"""",""size"":70777,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:13.000Z"",""contentLength"":70777,""httpStatusCode"":200}",2026-03-08 23:19:12.680292+00,2026-03-08 23:19:12.680292+00
catalog,products/vA3shIH1RMMriBMsyVI08X.Image.014859.jpg,null,"{""eTag"":""\""dbd474ad074acbdcf6891666a13fc5b8-1\"""",""size"":92702,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:13.000Z"",""contentLength"":92702,""httpStatusCode"":200}",2026-03-08 23:19:12.67164+00,2026-03-08 23:19:12.67164+00
